3549	14891	3916	32644	14947	22134	17479	2328	6212283	0	0	0	0	0
7543	24962	8479	32556	32519	32455	32440	5807	6212304	0	0	0	0	0
-896	-10908	-732	32494	-3178	-13214	-5826	-5592	6214762	0	0	0	0	0
-5899	-26282	-6346	22822	-32313	-32313	-32304	-10847	6214774	0	0	0	0	0
883	5545	1365	32767	2791	7865	3212	-633	6217277	6223606	0	0	0	0
4360	28662	5220	32512	32409	32479	32437	2135	6251064	0	0	0	0	0
-3467	18	-2813	32732	15097	4287	11937	-7421	6251082	0	0	0	0	0
-16593	-28014	-17327	32535	-29984	-32318	-32313	-23155	6251087	0	0	0	0	0
-9639	-6501	-9249	32460	-10195	-8824	-10759	-11049	6253535	0	0	0	0	0
-2372	25576	-1245	32471	32692	32667	32538	-2585	6253548	0	0	0	0	0
-2036	9653	-1341	32511	32392	19996	27134	-5829	6256034	0	0	0	0	0
-8935	-24831	-8603	32455	-22093	-32322	-27360	-12729	6256048	0	0	0	0	0
-3340	-16273	-3421	32537	-22203	-25230	-25195	-7129	6258537	0	0	0	0	0
3867	20692	4699	32664	30627	32433	29370	2705	6261031	0	0	0	0	0
6755	18601	7989	32501	32660	32468	32533	4610	6261041	0	0	0	0	0
-1528	-19161	-1375	32435	-13297	-26509	-18147	-6303	6261045	0	0	0	0	0
-4281	-24893	-4819	24778	-32317	-32303	-32323	-9097	6264803	0	0	0	0	0
2405	11194	2539	32463	11895	15950	12726	531	6301072	0	0	0	0	0
-247	24710	649	32563	32548	32767	32767	-2151	6301093	0	0	0	0	0
-9035	-9114	-9405	32699	436	-11237	-3756	-13501	6301100	0	0	0	0	0
-12389	-29050	-13145	23885	-32313	-32321	-32322	-17987	6303496	0	0	0	0	0
-7367	490	-7891	32577	-2628	567	-4277	-10725	6305993	0	0	0	0	0
954	26951	1792	32490	32439	32527	32621	207	6306021	0	0	0	0	0
-3071	1287	-3071	32585	16780	5734	11701	-7724	6306025	0	0	0	0	0
-6601	-27992	-7131	32483	-31309	-32327	-32341	-11743	6308490	0	0	0	0	0
147	-8989	-515	32649	-15571	-14363	-17984	-4281	6308496	0	0	0	0	0
5724	25642	6415	32487	32485	32441	32767	4113	6313533	0	0	0	0	0
6242	12829	7150	32515	32496	23437	28113	3001	6313543	0	0	0	0	0
-2437	-23633	-2654	32767	-22305	-32319	-26118	-7915	6316030	0	0	0	0	0
-2869	-17911	-3094	28640	-25868	-26809	-27358	-6873	6318532	0	0	0	0	0
5707	18934	6407	32676	26601	30976	27326	4293	6318543	0	0	0	0	0
-1256	21427	-686	32437	32710	32451	32639	-4005	6318547	6324357	0	0	0	0
-8469	-15017	-8294	32390	-2911	-17818	-8105	-12994	6352242	6357011	0	0	0	0
-11797	-24712	-12386	30369	-26433	-32319	-32337	-16808	6359849	0	0	0	0	0
-5237	9439	-4348	32336	18229	17154	15237	-6352	6359860	0	0	0	0	0
635	26760	1791	32519	32513	32519	32589	-1223	6359864	0	0	0	0	0
-3169	-5638	-2639	32663	13930	-3555	6490	-8434	6359868	0	0	0	0	0
-8602	-27441	-8008	32748	-27077	-32323	-32318	-12070	6362213	0	0	0	0	0
2721	-719	3421	32528	414	-1586	-2375	405	6362218	0	0	0	0	0
9129	28203	10717	32456	32578	32507	32383	8146	6362224	0	0	0	0	0
7711	5995	9389	32584	25901	12039	21573	5290	6368462	0	0	0	0	0
