-1179	-895	-830	-942	55	-1298	338	-1719	0	0	0	0
-2276	-2009	-1670	-1511	-643	-1927	-417	-2713	0	0	0	0
-1630	-1113	-1015	-991	-487	-1115	364	-1943	0	0	0	0
-1354	-1005	-764	-978	-272	-1170	297	-2107	0	0	0	0
-1843	-1602	-1407	-1469	-919	-1551	142	-1888	0	0	0	0
-1261	-1087	-879	-1043	-395	-901	817	-1777	0	0	0	0
-990	-636	-537	-671	13	-983	531	-2317	0	0	0	0
-802	-481	-507	-660	-193	-827	499	-2087	0	0	0	0
-1491	-1411	-1017	-1019	-397	-1129	386	-1632	0	0	0	0
-1259	-1024	-605	-765	-281	-731	667	-1717	0	0	0	0
-827	-421	-73	-96	405	-55	1265	-937	0	0	0	0
602	855	918	375	603	43	1195	-771	0	0	0	0
-1709	-1246	-1263	-1734	-1353	-2106	-850	-2614	0	0	0	0
-1115	-834	-511	-611	-36	-939	243	-1729	0	0	0	0
-1477	-1193	-663	-694	-39	-1071	147	-1891	0	0	0	0
-1358	-1129	-600	-565	-1	-913	241	-1604	0	0	0	0
-1346	-1124	-661	-1000	-458	-889	362	-1567	0	0	0	0
-1011	-795	-368	-533	157	-659	558	-1483	0	0	0	0
-345	-14	357	265	983	123	1277	-1158	0	0	0	0
-1008	-613	68	-57	697	-443	920	-1509	0	0	0	0
-697	-527	-133	-419	245	-543	496	-1311	0	0	0	0
-736	-214	205	19	935	-196	1093	-1012	0	0	0	0
-583	-70	276	183	986	83	1057	-1291	0	0	0	0
-956	-491	-93	168	1094	-111	843	-1302	0	0	0	0
-150	410	618	586	1317	670	1483	-552	0	0	0	0
11	679	885	1145	1993	1072	1661	-441	0	0	0	0
-719	-263	-95	181	1101	-87	639	-1849	0	0	0	0
-251	125	241	383	1150	513	1436	-943	0	0	0	0
-946	-426	-159	-69	728	3	1077	-1427	0	0	0	0
-488	-119	156	156	1149	402	1623	-521	0	0	0	0
-183	204	487	500	1352	670	1695	-439	0	0	0	0
59	313	427	524	1327	528	1631	-398	0	0	0	0
-544	-231	-295	-206	817	-149	1111	-1007	0	0	0	0
-190	-61	37	55	1085	333	1431	-485	0	0	0	0
-174	131	359	436	1255	877	2142	85	0	0	0	0
-620	-457	-287	-85	793	13	1148	-1118	0	0	0	0
-1059	-989	-592	-435	720	-234	1313	-695	0	0	0	0
-760	-697	-455	-582	204	-101	1476	-431	0	0	0	0
-710	-620	-334	-426	745	196	1569	-185	0	0	0	0
32	-111	-159	-401	219	71	1521	-642	0	0	0	0
-341	-346	-463	-1001	-197	-415	1123	-982	0	0	0	0
-429	-479	-484	-683	177	-40	1661	-586	0	0	0	0
-537	-743	-616	-934	-297	-119	1511	-517	0	0	0	0
-170	-441	-250	-801	-286	98	1846	-53	0	0	0	0
-1203	-1244	-875	-1144	-547	-334	1479	-763	0	0	0	0
-1532	-1532	-1323	-1680	-888	-1040	872	-1259	0	0	0	0
-847	-1061	-868	-1420	-572	-526	1444	-806	0	0	0	0
-569	-535	-521	-911	-251	-254	1673	-386	0	0	0	0
-913	-812	-842	-1167	-237	-457	1313	-760	0	0	0	0
-775	-733	-758	-890	3	-591	1337	-825	0	0	0	0
-1389	-1355	-1099	-1320	-831	-695	1085	-1135	0	0	0	0
-819	-775	-736	-1178	-642	-701	1187	-953	0	0	0	0
-393	-391	-150	-393	251	36	1592	-523	0	0	0	0
-731	-793	-781	-1160	-720	-681	726	-1673	0	0	0	0
-1048	-965	-797	-1314	-559	-893	689	-1491	0	0	0	0
-507	-291	-157	-502	247	-265	939	-1043	0	0	0	0
-519	-297	-207	-350	385	-417	664	-1132	0	0	0	0
-620	-313	-263	-243	470	-441	601	-1113	0	0	0	0
-659	-366	-465	-713	-3	-599	672	-1181	0	0	0	0
-31	245	163	437	1148	-45	1106	-601	0	0	0	0
-285	91	-58	-373	203	-667	273	-1027	0	0	0	0
-833	-405	-153	-351	396	-342	315	-894	0	0	0	0
-57	28	152	-16	739	78	497	-994	0	0	0	0
472	574	769	404	1390	465	699	-1579	0	0	0	0
-285	75	-128	-258	223	-793	-387	-1215	0	0	0	0
