-11909	-3858	8579	-56	0
-7768	-7206	13019	371	0
-3458	-3205	14232	-200	0
-8727	3960	-496	980	0
-13033	6868	-6880	1167	0
-16073	5631	-13705	1650	0
-16296	8427	-22794	2480	0
-17361	5261	-25649	1543	0
-16420	8396	-32323	2034	0
-16416	2153	-23921	1087	0
-13437	-3749	-8879	62	0
-15291	-7930	2339	568	0
-9813	-5247	8535	-303	0
-7942	-2575	-5867	416	0
-8989	-111	-9753	1416	0
-10016	2117	-13634	1121	0
-9264	5587	-20278	1660	0
-6936	3882	-15843	1470	0
-9462	9873	-21771	1835	0
-12206	8727	-7474	3285	0
-6567	1299	9162	273	0
-2633	-3556	21013	586	0
301	-8706	24043	149	0
-1849	-8743	15021	243	0
-8694	-869	1869	1540	0
-13603	-1389	-3706	1780	0
-16057	-1149	-14777	1483	0
-13499	917	-19970	2216	0
-11160	-437	-21917	1399	0
-14283	1106	-26187	1991	0
-13113	2638	-28768	2087	0
-11008	4033	-28394	2723	0
-9257	-3995	-11064	1782	0
-1205	-4375	-20970	1340	0
1451	587	-24293	1493	0
551	4061	-27039	3092	0
3513	-2215	-10556	881	0
8935	-4151	7469	-42	0
11948	-1974	17551	558	0
9941	-3567	22253	159	0
7537	-5816	13382	203	0
1101	-816	-3580	1304	0
-3716	2099	-10257	1855	0
-7529	4221	-15628	2007	0
-10801	2556	-19721	1441	0
-10172	6201	-27635	2183	0
-11302	15053	-26157	1739	0
-8159	10828	-7895	1713	0
-5703	5865	10787	7	0
-1451	2180	20743	423	0
655	1315	10455	-21	0
2845	7651	-665	1743	0
3700	9471	-5685	2213	0
2669	9051	-17173	2335	0
-3715	9463	-16394	2019	0
-12436	10001	-18134	1687	0
-15815	11003	-22361	3768	0
-14739	928	2899	1588	0
-11891	-1833	15363	-48	0
-8649	-2106	20623	850	0
-4979	-5276	19635	-255	0
-2944	-9129	17798	313	0
71	-9666	15721	314	0
545	-2976	8046	375	0
-263	-2429	5964	796	0
1081	-5559	5953	875	0
8387	-7571	7875	679	0
8465	-6494	13166	708	0
5271	-9943	17435	311	0
6595	-13248	18121	-121	0
4037	-12416	10443	1112	0
1726	-4103	4871	1175	0
1091	-2112	4991	301	0
-67	-15	-6757	1399	0
-7263	1677	-13711	2213	0
-11305	540	-21179	2085	0
-12827	-1861	-15095	1701	0
-7738	-7470	4000	1409	0
-1749	-16646	19939	77	0
2432	-18337	23140	-861	0
