-1289	-968	-918	-777	-564	-1136	545	-949	0	0	0	0
-1394	-947	-823	-740	-450	-1115	687	-601	0	0	0	0
-901	-427	-263	-377	123	-633	941	-461	0	0	0	0
-328	207	-17	167	594	-194	1486	-117	0	0	0	0
-427	-173	-8	-68	409	-520	1311	-313	0	0	0	0
-617	-18	-187	-1	420	-459	1139	-283	0	0	0	0
-521	-34	-393	52	337	-508	1091	-418	0	0	0	0
-386	-179	-393	169	471	-695	1037	-484	0	0	0	0
-781	-348	-582	-230	151	-775	823	-840	0	0	0	0
-1023	-444	-557	-428	186	-743	715	-794	0	0	0	0
-490	10	-117	-9	498	-417	739	-505	0	0	0	0
-633	-148	-158	-189	133	-489	843	-797	0	0	0	0
-313	-118	-135	140	359	-399	931	-769	0	0	0	0
-329	181	265	15	433	-93	697	-955	0	0	0	0
-195	284	329	54	528	-3	763	-870	0	0	0	0
-46	175	187	215	569	-82	1069	-596	0	0	0	0
-344	-121	-29	64	265	-511	1085	-509	0	0	0	0
-1099	-687	-422	-685	-79	-844	839	-612	0	0	0	0
-965	-549	-408	-601	-86	-703	908	-467	0	0	0	0
-477	-92	-57	-230	463	-377	1267	85	0	0	0	0
-561	-55	53	-204	318	-429	1131	-200	0	0	0	0
-548	136	206	-69	571	-405	1194	-259	0	0	0	0
-773	-125	-151	-97	439	-615	1083	-45	0	0	0	0
-1102	-505	-281	-377	302	-537	1359	154	0	0	0	0
-448	135	535	280	781	-146	1864	223	0	0	0	0
-447	-31	407	201	707	-370	1863	330	0	0	0	0
-585	-267	-169	-20	356	-459	1855	449	0	0	0	0
-568	-417	-318	2	312	-599	1796	424	0	0	0	0
-129	125	219	555	861	2	2255	755	0	0	0	0
343	454	457	807	1159	29	2243	631	0	0	0	0
131	316	211	594	704	-293	1726	217	0	0	0	0
-366	-188	-361	202	331	-618	1291	87	0	0	0	0
264	617	557	775	1069	176	1832	479	0	0	0	0
222	515	489	492	864	-201	1776	190	0	0	0	0
-144	536	605	64	534	-195	1124	-104	0	0	0	0
-924	-149	217	-363	247	-432	811	-200	0	0	0	0
-845	-126	373	-565	251	-206	591	-538	0	0	0	0
-739	159	433	-349	333	-137	857	-554	0	0	0	0
-368	525	775	-38	669	61	928	-419	0	0	0	0
-970	-175	-201	-557	144	-667	355	-836	0	0	0	0
-702	-81	13	-257	497	-319	498	-864	0	0	0	0
-146	389	439	103	882	-127	957	-572	0	0	0	0
611	1087	1155	841	1467	421	1497	-249	0	0	0	0
791	1453	1217	932	1710	511	1681	83	0	0	0	0
823	1437	1249	1211	2007	701	1648	102	0	0	0	0
490	1170	1351	832	1654	847	1555	103	0	0	0	0
275	647	871	429	1073	103	1092	-347	0	0	0	0
493	1099	1206	759	1431	601	1236	-159	0	0	0	0
895	1344	1435	865	1397	665	1110	-361	0	0	0	0
747	1092	1285	640	1192	841	931	-524	0	0	0	0
-271	7	401	-118	366	-285	381	-997	0	0	0	0
-308	-63	271	14	348	-299	277	-883	0	0	0	0
-353	137	305	-121	253	-366	437	-669	0	0	0	0
-337	22	288	-40	527	-131	613	-425	0	0	0	0
-483	-266	-98	-339	115	-481	377	-903	0	0	0	0
-1208	-927	-537	-766	-237	-909	-27	-1213	0	0	0	0
-879	-323	-69	-377	131	-629	235	-1086	0	0	0	0
-503	-77	219	-315	358	-284	462	-808	0	0	0	0
-483	-119	241	-438	221	-476	227	-1272	0	0	0	0
-328	96	285	-97	223	-455	187	-1305	0	0	0	0
-142	180	609	11	748	-29	371	-1081	0	0	0	0
-106	343	693	-11	809	47	544	-990	0	0	0	0
-579	-27	483	-345	352	-156	468	-715	0	0	0	0
-563	-263	88	-319	241	-339	611	-445	0	0	0	0
-87	139	583	279	769	14	1116	-271	0	0	0	0
-305	130	673	89	766	171	1019	53	0	0	0	0
-89	534	1101	383	1086	549	1315	93	0	0	0	0
8	411	1079	36	771	158	956	-99	0	0	0	0
-710	-536	63	-383	191	-443	688	-363	0	0	0	0
-626	-21	419	-289	411	-78	621	-91	0	0	0	0
-176	300	783	39	928	255	1195	497	0	0	0	0
453	1007	1193	524	1291	422	1547	838	0	0	0	0
141	501	1059	337	1323	204	1304	405	0	0	0	0
644	945	1115	933	1515	669	1688	811	0	0	0	0
461	815	1057	744	1306	503	1505	618	0	0	0	0
425	1139	1095	686	1569	539	1419	494	0	0	0	0
119	488	583	372	911	-117	979	-1	0	0	0	0
213	430	741	408	964	118	1089	-58	0	0	0	0
201	489	779	517	843	289	925	-114	0	0	0	0
-43	139	409	227	757	-27	955	-52	0	0	0	0
-168	70	351	-45	365	-407	429	-573	0	0	0	0
-507	-153	-64	-272	225	-663	463	-566	0	0	0	0
81	424	557	227	869	-1	777	-128	0	0	0	0
-110	247	318	256	669	-281	733	-310	0	0	0	0
-297	-117	161	136	505	-539	576	-697	0	0	0	0
280	625	907	642	1111	243	1078	-247	0	0	0	0
-173	147	743	346	917	96	827	-639	0	0	0	0
20	461	779	515	1333	313	1019	-436	0	0	0	0
530	971	1526	744	1427	655	1294	-667	0	0	0	0
176	475	909	480	1159	134	983	-827	0	0	0	0
459	745	1017	547	1322	405	862	-587	0	0	0	0
557	723	898	921	1561	610	1173	-243	0	0	0	0
222	689	965	616	1469	614	1079	-634	0	0	0	0
-41	390	471	277	1211	325	1049	-771	0	0	0	0
528	1077	1482	741	1685	974	1225	-258	0	0	0	0
-81	293	623	293	1097	327	978	-349	0	0	0	0
283	913	877	516	1226	536	1259	-105	0	0	0	0
1089	1425	1546	1111	1717	955	1670	116	0	0	0	0
935	1316	1679	946	1601	836	1385	-217	0	0	0	0
1105	1226	1578	1084	1691	877	1286	-263	0	0	0	0
757	1035	1389	868	1420	739	1029	-525	0	0	0	0
178	424	618	235	723	-181	655	-980	0	0	0	0
